Metal,Substrate,Me_MagpieData mean Column,Me_MagpieData mean CovalentRadius,Me_MagpieData mean NdValence,Me_MagpieData mean GSbandgap,Me_MagpieData mean GSmagmom,Me_MagpieData mean SpaceGroupNumber,Ce_MagpieData mean MeltingT,Ce_MagpieData mean NpUnfilled,Testing temperature (K),Wetting angle
Cu0.963Ti0.037,Er2O3,10.741,133.036,9.704,0,8.34E-07,223.853,740.88,1.2,1423,118.9
Cu0.903Ti0.097,Er2O3,10.321,134.716,9.224,0,2.19E-06,221.993,740.88,1.2,1423,91.6
Cu0.848Ti0.152,Er2O3,9.936,136.256,8.784,0,3.43E-06,220.288,740.88,1.2,1423,81.4
Cu0.733Ti0.267,Er2O3,9.131,139.476,7.864,0,6.02E-06,216.723,740.88,1.2,1423,68.8
Cu0.663Ti0.337,Er2O3,8.641,141.436,7.304,0,7.59E-06,214.553,740.88,1.2,1423,64.6
Cu0.577Ti0.423,Er2O3,8.039,143.844,6.616,0,9.53E-06,211.887,740.88,1.2,1423,63.2
Cu0.496Ti0.504,Er2O3,7.472,146.112,5.968,0,1.14E-05,209.376,740.88,1.2,1423,62.5
Cu0.412Ti0.588,Er2O3,6.884,148.464,5.296,0,1.32E-05,206.772,740.88,1.2,1423,62.1
Cu,Y2O3,11,132,10,0,0,225,752.48,1.2,1423,137
Cu0.877Ge0.123,Y2O3,11.369,130.524,10,0.047109,0,225,752.48,1.2,1423,110
Cu0.843Ge0.157,Y2O3,11.471,130.116,10,0.060131,0,225,752.48,1.2,1423,90
Cu0.726Ge0.274,Y2O3,11.822,128.712,10,0.104942,0,225,752.48,1.2,1423,79
Cu0.647Ge0.353,Y2O3,12.059,127.764,10,0.135199,0,225,752.48,1.2,1423,77
Cu0.563Ge0.437,Y2O3,12.311,126.756,10,0.167371,0,225,752.48,1.2,1423,68
Cu0.491Ge0.509,Y2O3,12.527,125.892,10,0.194947,0,225,752.48,1.2,1423,62
Cu0.258Ge0.742,Y2O3,13.226,123.096,10,0.284186,0,225,752.48,1.2,1423,56
Cu0.049Ge0.951,Y2O3,13.853,120.588,10,0.364233,0,225,752.48,1.2,1423,50
Ge,Y2O3,14,120,10,0.383,0,225,752.48,1.2,1423,48
Cu,Al2O3,11,132,10,0,0,225,406.268,3.2,1423,137
Cu0.825Ge0.175,Al2O3,11.525,129.9,10,0.067025,0,225,406.268,3.2,1423,132
Cu0.746Ge0.254,Al2O3,11.762,128.952,10,0.097282,0,225,406.268,3.2,1423,128
Cu0.724Ge0.276,Al2O3,11.828,128.688,10,0.105708,0,225,406.268,3.2,1423,125
Cu0.604Ge0.396,Al2O3,12.188,127.248,10,0.151668,0,225,406.268,3.2,1423,125
Cu0.542Ge0.458,Al2O3,12.374,126.504,10,0.175414,0,225,406.268,3.2,1423,124
Cu0.412Ge0.588,Al2O3,12.764,124.944,10,0.225204,0,225,406.268,3.2,1423,116
Cu0.201Ge0.799,Al2O3,13.397,122.412,10,0.306017,0,225,406.268,3.2,1423,115
Cu0.093Ge0.907,Al2O3,13.721,121.116,10,0.347381,0,225,406.268,3.2,1423,113
Sn,Al2O3,14,139,10,0,0,141,406.268,3.2,1423,122.6
Sn0.995Ti0.005,Al2O3,13.95,139.105,9.96,0,1.13E-07,141.265,406.268,3.2,1423,97.6
Sn0.99Ti0.01,Al2O3,13.9,139.21,9.92,0,2.25E-07,141.53,406.268,3.2,1423,62.9
Sn0.978Ti0.022,Al2O3,13.78,139.462,9.824,0,4.96E-07,142.166,406.268,3.2,1423,47.2
Sn0.96Ti0.04,Al2O3,13.6,139.84,9.68,0,9.01E-07,143.12,406.268,3.2,1423,42.6
Sn0.941Ti0.059,Al2O3,13.41,140.239,9.528,0,1.33E-06,144.127,406.268,3.2,1423,40.5
Sn,Y2O3,14,139,10,0,0,141,752.48,1.2,1423,84.7
Sn0.995Ti0.005,Y2O3,13.95,139.105,9.96,0,1.13E-07,141.265,752.48,1.2,1423,75.7
Sn0.988Ti0.012,Y2O3,13.88,139.252,9.904,0,2.70E-07,141.636,752.48,1.2,1423,48
Sn0.98Ti0.02,Y2O3,13.8,139.42,9.84,0,4.51E-07,142.06,752.48,1.2,1423,33.2
Sn0.967Ti0.033,Y2O3,13.67,139.693,9.736,0,7.44E-07,142.749,752.48,1.2,1423,29.3
Sn0.953Ti0.047,Y2O3,13.53,139.987,9.624,0,1.06E-06,143.491,752.48,1.2,1423,25.7
Sn0.942Ti0.058,Y2O3,13.42,140.218,9.536,0,1.31E-06,144.074,752.48,1.2,1423,24.5
Sn,Er2O3,14,139,10,0,0,141,740.88,1.2,1423,81.6
Sn0.996Ti0.004,Er2O3,13.96,139.084,9.968,0,9.01E-08,141.212,740.88,1.2,1423,72.2
Sn0.989Ti0.011,Er2O3,13.89,139.231,9.912,0,2.48E-07,141.583,740.88,1.2,1423,52.2
Sn0.981Ti0.019,Er2O3,13.81,139.399,9.848,0,4.28E-07,142.007,740.88,1.2,1423,40.1
Sn0.975Ti0.025,Er2O3,13.75,139.525,9.8,0,5.63E-07,142.325,740.88,1.2,1423,33.6
Sn0.961Ti0.039,Er2O3,13.61,139.819,9.688,0,8.79E-07,143.067,740.88,1.2,1423,24.8
Sn0.951Ti0.049,Er2O3,13.51,140.029,9.608,0,1.10E-06,143.597,740.88,1.2,1423,24.3
Sn0.94Ti0.06,Er2O3,13.4,140.26,9.52,0,1.35E-06,144.18,740.88,1.2,1423,23.1
Cu0.94Ti0.06,Si1O2,10.58,133.68,9.52,0,1.35E-06,223.14,598.8666667,2.666666667,1423,27
Cu0.94Ti0.06,Al2O3,10.58,133.68,9.52,0,1.35E-06,223.14,406.268,3.2,1423,21
Cu0.94Ti0.06,Ti2O3,10.58,133.68,9.52,0,1.35E-06,223.14,809.28,1.2,1423,21
Cu0.94Ti0.06,Mg1O1,10.58,133.68,9.52,0,1.35E-06,223.14,488.9,1,1423,26
Cu0.425Pd0.425Ti0.15,Al2O3,9.525,139.175,8.8,0,3.38E-06,220.35,406.268,3.2,1423,34
Cu0.425Pd0.425Ti0.15,Si1O2,9.525,139.175,8.8,0,3.38E-06,220.35,598.8666667,2.666666667,1423,36
Cu0.425Pd0.425Ti0.15,Al2O3,9.525,139.175,8.8,0,3.38E-06,220.35,406.268,3.2,1423,31
Si,Al2O3,14,111,0,0.773,0,227,406.268,3.2,1703,80
Si,Si1O2,14,111,0,0.773,0,227,598.8666667,2.666666667,1703,92
Si,Y2O3,14,111,0,0.773,0,227,752.48,1.2,1703,63
Si,Al2O3,14,111,0,0.773,0,227,406.268,3.2,1723,95
Si,Zr1O2,14,111,0,0.773,0,227,745.8666667,1.333333333,1723,90
Si,Mg1O1,14,111,0,0.773,0,227,488.9,1,1723,101
Si,Be1O1,14,111,0,0.773,0,227,807.4,1,1723,88
Si,Al2O3,14,111,0,0.773,0,227,406.268,3.2,1723,100
Si,Zr1O2,14,111,0,0.773,0,227,745.8666667,1.333333333,1723,96
Si,Mg1O1,14,111,0,0.773,0,227,488.9,1,1723,95
Si,Be1O1,14,111,0,0.773,0,227,807.4,1,1723,76
Si,Ti1O2,14,111,0,0.773,0,227,683.5333333,1.333333333,1723,107
Ni,Zr1O2,10,124,8,0,0.5953947,225,745.8666667,1.333333333,1773,118
Ni,Al2O3,10,124,8,0,0.5953947,225,406.268,3.2,1773,128
Ni,Be1O1,10,124,8,0,0.5953947,225,807.4,1,1773,128
Ni,Mg1O1,10,124,8,0,0.5953947,225,488.9,1,1773,132
Ni,Ti1O2,10,124,8,0,0.5953947,225,683.5333333,1.333333333,1773,104
Ni,Zr1O2,10,124,8,0,0.5953947,225,745.8666667,1.333333333,1773,131
Ni,Th1O2,10,124,8,0,0.5953947,225,710.8666667,1.333333333,1773,132
Ni,Al2O3,10,124,8,0,0.5953947,225,406.268,3.2,1773,133
Ni,Be1O1,10,124,8,0,0.5953947,225,807.4,1,1773,152
Ni,Mg1O1,10,124,8,0,0.5953947,225,488.9,1,1773,152
Ni,Ti1O2,10,124,8,0,0.5953947,225,683.5333333,1.333333333,1773,143
Ni,Zr1O2,10,124,8,0,0.5953947,225,745.8666667,1.333333333,1773,120
Ni,Th1O2,10,124,8,0,0.5953947,225,710.8666667,1.333333333,1773,134
Ni,Al2O3,10,124,8,0,0.5953947,225,406.268,3.2,1773,141
Ni,Be1O1,10,124,8,0,0.5953947,225,807.4,1,1773,146
Ni,Ti1O2,10,124,8,0,0.5953947,225,683.5333333,1.333333333,1773,121
Ni,Al2O3,10,124,8,0,0.5953947,225,406.268,3.2,1755,112
Ni0.97Al0.03,Al2O3,10.09,123.91,7.76,0,0.577532859,225,406.268,3.2,1755,113
Ni0.92Al0.08,Al2O3,10.24,123.76,7.36,0,0.547763124,225,406.268,3.2,1755,134
Ni0.75Al0.25,Al2O3,10.75,123.25,6,0,0.446546025,225,406.268,3.2,1670,94
Ni,Al2O3,10,124,8,0,0.5953947,225,406.268,3.2,1773,108
Ni,Al2O3,10,124,8,0,0.5953947,225,406.268,3.2,1773,110
Ni,Al2O3,10,124,8,0,0.5953947,225,406.268,3.2,1853,107
Ni,Al2O3,10,124,8,0,0.5953947,225,406.268,3.2,1755,109
Ni,Al2O3,10,124,8,0,0.5953947,225,406.268,3.2,1750,112
Ni0.97Al0.03,Al2O3,10.09,123.91,7.76,0,0.577532859,225,406.268,3.2,1750,95
Ni0.75Al0.25,Al2O3,10.75,123.25,6,0,0.446546025,225,406.268,3.2,1750,83
Al,Al2O3,13,121,0,0,0,225,406.268,3.2,1750,65
Cu0.425Pd0.425Ti0.15,Al2O3,9.525,139.175,8.8,0,3.38E-06,220.35,406.268,3.2,1423,128
Cu0.425Pd0.425Ti0.15,Ti2O3,9.525,139.175,8.8,0,3.38E-06,220.35,809.28,1.2,1423,113
Cu0.425Pd0.425Ti0.15,Ti1O1.14,9.525,139.175,8.8,0,3.38E-06,220.35,936.2018692,1.065420561,1423,82
Cu0.425Pd0.425Ti0.15,Ti1O0.86,9.525,139.175,8.8,0,3.38E-06,220.35,1068.886022,0.924731183,1423,72
Ni0.5Pd0.5,Al2O3,10,131.5,9,0,0.29769735,225,406.268,3.2,1523,112.1
Ni0.49Pd0.491Ti0.019,Al2O3,9.886,132.049,8.868,0,0.291743831,224.411,406.268,3.2,1523,103.9
Ni0.492Pd0.492Ti0.016,Al2O3,9.904,131.956,8.888,0,0.292934553,224.504,406.268,3.2,1523,98.3
Ni0.486Pd0.486Ti0.028,Al2O3,9.832,132.298,8.804,0,0.289362455,224.132,406.268,3.2,1523,94.9
Ni0.471Pd0.471Ti0.058,Al2O3,9.652,133.153,8.594,0,0.280432211,223.202,406.268,3.2,1523,97
Ni0.464Pd0.465Ti0.071,Al2O3,9.574,133.531,8.504,0,0.276264741,222.799,406.268,3.2,1523,96.1
Ni0.453Pd0.453Ti0.094,Al2O3,9.436,134.179,8.342,0,0.269715917,222.086,406.268,3.2,1523,81.2
Ni0.442Pd0.442Ti0.116,Al2O3,9.304,134.806,8.188,0,0.263167071,221.404,406.268,3.2,1523,76.1
Ni0.434Pd0.435Ti0.131,Al2O3,9.214,135.241,8.084,0,0.258404252,220.939,406.268,3.2,1523,69.3
Ni0.424Pd0.425Ti0.151,Al2O3,9.094,135.811,7.944,0,0.252450755,220.319,406.268,3.2,1523,72.3
Ni0.412Pd0.412Ti0.176,Al2O3,8.944,136.516,7.768,0,0.245306582,219.544,406.268,3.2,1523,68.3
Ni0.4Pd0.4Ti0.2,Al2O3,8.8,137.2,7.6,0,0.238162387,218.8,406.268,3.2,1523,57.6
Ni0.384Pd0.385Ti0.231,Al2O3,8.614,138.091,7.384,0,0.22863677,217.839,406.268,3.2,1523,50.5
Ni0.374Pd0.375Ti0.251,Al2O3,8.494,138.661,7.244,0,0.222683274,217.219,406.268,3.2,1523,50.7
Ni,Al2O3,10,124,8,0,0.5953947,225,406.268,3.2,1773,111
Ni0.95Cr0.05,Al2O3,9.8,124.75,7.85,0,0.565624965,225.2,406.268,3.2,1773,98
Ni0.9Cr0.1,Al2O3,9.6,125.5,7.7,0,0.53585523,225.4,406.268,3.2,1773,91
Ni0.85Cr0.15,Al2O3,9.4,126.25,7.55,0,0.506085495,225.6,406.268,3.2,1773,89
Ni0.8Cr0.2,Al2O3,9.2,127,7.4,0,0.47631576,225.8,406.268,3.2,1773,89
Al,Al2O3,13,121,0,0,0,225,406.268,3.2,933,103
Au,Al2O3,11,136,10,0,0,225,406.268,3.2,1423,120
Co,Al2O3,9,126,7,0,1.5484712,194,406.268,3.2,1803,113
Ge,Al2O3,14,120,10,0.383,0,225,406.268,3.2,1423,104
Mn,Al2O3,7,139,5,0,0.000310121,217,406.268,3.2,1823,103
Pd,Al2O3,10,139,10,0,0,225,406.268,3.2,1873,120
Co,Al2O3,9,126,7,0,1.5484712,194,406.268,3.2,1793,115
Co,Co1O1,9,126,7,0,1.5484712,194,911.4,1,1773,70
Co,Zr1O2,9,126,7,0,1.5484712,194,745.8666667,1.333333333,1773,118
Fe,Al2O3,8,132,6,0,2.1106628,229,406.268,3.2,1848,111
Fe,Be1O1,8,132,6,0,2.1106628,229,807.4,1,1823,127
Fe,Ca1O1,8,132,6,0,2.1106628,229,584.9,1,1823,132
Fe,Cr2O3,8,132,6,0,2.1106628,229,904.88,1.2,1823,88
Fe,Mg1O1,8,132,6,0,2.1106628,229,488.9,1,1823,123
Fe,U1O2,8,132,6,0,2.1106628,229,505.8666667,1.333333333,1823,123
Fe,Zr1O2,8,132,6,0,2.1106628,229,745.8666667,1.333333333,1933,115
Ni,Al2O3,10,124,8,0,0.5953947,225,406.268,3.2,1808,111
Ni,Be1O1,10,124,8,0,0.5953947,225,807.4,1,1823,127
Ni,Ca1O1,10,124,8,0,0.5953947,225,584.9,1,1773,135
Ni,Co1O1,10,124,8,0,0.5953947,225,911.4,1,1773,58
Ni,Mg1O1,10,124,8,0,0.5953947,225,488.9,1,1823,132
Ni,Ni1O1,10,124,8,0,0.5953947,225,891.4,1,1773,60
Ni,Si1O2,10,124,8,0,0.5953947,225,598.8666667,2.666666667,1773,125
Ni,Ti1O2,10,124,8,0,0.5953947,225,683.5333333,1.333333333,1773,105
Ni,U1O2,10,124,8,0,0.5953947,225,505.8666667,1.333333333,1773,112
Ni,Zr1O2,10,124,8,0,0.5953947,225,745.8666667,1.333333333,1743,121
Ni,Al2O3,10,124,8,0,0.5953947,225,406.268,3.2,1823,108
Ni,Al2O3,10,124,8,0,0.5953947,225,406.268,3.2,1730,112
Sn,Co1O1,14,139,10,0,0,141,911.4,1,1173,0.1
Sn,Ni1O1,14,139,10,0,0,141,891.4,1,1273,26.7
Sn,Yb2O3,14,139,10,0,0,141,469.68,1.2,1423,79.6
Sn,Lu2O3,14,139,10,0,0,141,807.28,1.2,1423,88.1
Sn,Al2O3,14,139,10,0,0,141,406.268,3.2,1273,120
Sn,Mg1O1,14,139,10,0,0,141,488.9,1,505,121
Sn,Si1O2,14,139,10,0,0,141,598.8666667,2.666666667,505,124
Sn,Zr1O2,14,139,10,0,0,141,745.8666667,1.333333333,1073,135.5
Ni,Mg1O1,10,124,8,0,0.5953947,225,488.9,1,1773,132.4
Ni,Mg0.9Co0.1O1,10,124,8,0,0.5953947,225,531.15,1,1773,127.6
Ni,Mg0.7Co0.3O1,10,124,8,0,0.5953947,225,615.65,1,1773,124
Ni,Mg0.5Co0.5O1,10,124,8,0,0.5953947,225,700.15,1,1773,122
Ni,Mg0.3Co0.7O1,10,124,8,0,0.5953947,225,784.65,1,1773,112
Ni,Mg0.1Co0.9O1,10,124,8,0,0.5953947,225,869.15,1,1773,74.4
Ni,CuO2,10,124,8,0,0.5953947,225,489.1233333,1.333333333,1773,58
Sn,Ni1O1,14,139,10,0,0,141,891.4,1,1275,27
Ti,Mg1O1,4,160,2,0,2.25E-05,194,488.9,1,2000,0
Al,Si1O2,13,121,0,0,0,225,598.8666667,2.666666667,1073,90
Ga,Al2O3,13,122,10,0,0,64,406.268,3.2,305,129.8
Ga,Al2O3,13,122,10,0,0,64,406.268,3.2,438,127.8
Ga,Al2O3,13,122,10,0,0,64,406.268,3.2,583,126.4
Ga,Al2O3,13,122,10,0,0,64,406.268,3.2,773,124.3
Ga,Al2O3,13,122,10,0,0,64,406.268,3.2,973,121.6
Ga,Al2O3,13,122,10,0,0,64,406.268,3.2,1173,119.4
Ga,Si1O2,13,122,10,0,0,64,598.8666667,2.666666667,313,130.9
Ga,Si1O2,13,122,10,0,0,64,598.8666667,2.666666667,437,129.5
Ga,Si1O2,13,122,10,0,0,64,598.8666667,2.666666667,589,127.9
Ga,Si1O2,13,122,10,0,0,64,598.8666667,2.666666667,773,126
Ga,Si1O2,13,122,10,0,0,64,598.8666667,2.666666667,973,123.9
Ga,Si1O2,13,122,10,0,0,64,598.8666667,2.666666667,1173,121.9
Ga0.908Ni0.092,Si1O2,12.724,122.184,9.816,0,0.054776312,78.812,598.8666667,2.666666667,866,137
Ga0.908Ni0.092,Si1O2,12.724,122.184,9.816,0,0.054776312,78.812,598.8666667,2.666666667,971,136
Ga0.908Ni0.092,Si1O2,12.724,122.184,9.816,0,0.054776312,78.812,598.8666667,2.666666667,1076,136
Ga0.908Ni0.092,Si1O2,12.724,122.184,9.816,0,0.054776312,78.812,598.8666667,2.666666667,1169,135
Ga0.721Ag0.279,Si1O2,12.442,128.417,10,0,0,108.919,598.8666667,2.666666667,874,135
Ga0.721Ag0.279,Si1O2,12.442,128.417,10,0,0,108.919,598.8666667,2.666666667,974,132
Ga0.721Ag0.279,Si1O2,12.442,128.417,10,0,0,108.919,598.8666667,2.666666667,1072,130
Ga0.721Ag0.279,Si1O2,12.442,128.417,10,0,0,108.919,598.8666667,2.666666667,1171,126
Ga0.63Sn0.37,Si1O2,13.37,128.29,10,0,0,92.49,598.8666667,2.666666667,582,130
Ga0.63Sn0.37,Si1O2,13.37,128.29,10,0,0,92.49,598.8666667,2.666666667,785,127
Ga0.63Sn0.37,Si1O2,13.37,128.29,10,0,0,92.49,598.8666667,2.666666667,989,123
Ga0.63Sn0.37,Si1O2,13.37,128.29,10,0,0,92.49,598.8666667,2.666666667,1161,119
Ga0.353In0.647,Si1O2,13,134.94,10,0,0,112.525,598.8666667,2.666666667,440,127
Ga0.353In0.647,Si1O2,13,134.94,10,0,0,112.525,598.8666667,2.666666667,589,125
Ga0.353In0.647,Si1O2,13,134.94,10,0,0,112.525,598.8666667,2.666666667,784,121
Ga0.353In0.647,Si1O2,13,134.94,10,0,0,112.525,598.8666667,2.666666667,983,118
Ga0.353In0.647,Si1O2,13,134.94,10,0,0,112.525,598.8666667,2.666666667,1187,116
Ga,Al2O3,13,122,10,0,0,64,406.268,3.2,1173,121
Ga0.985Cr0.015,Al2O3,12.895,122.255,9.925,0,0,66.475,406.268,3.2,1173,119
Ga0.972Cr0.028,Al2O3,12.804,122.476,9.86,0,0,68.62,406.268,3.2,1173,121
Ga0.961Cr0.039,Al2O3,12.727,122.663,9.805,0,0,70.435,406.268,3.2,1173,118
Ga0.947Cr0.053,Al2O3,12.629,122.901,9.735,0,0,72.745,406.268,3.2,1173,120
Ga0.939Cr0.061,Al2O3,12.573,123.037,9.695,0,0,74.065,406.268,3.2,1173,118
Ga0.921Cr0.079,Al2O3,12.447,123.343,9.605,0,0,77.035,406.268,3.2,1173,120
Ga0.917Cr0.083,Al2O3,12.419,123.411,9.585,0,0,77.695,406.268,3.2,1173,117
Ga0.898Cr0.102,Al2O3,12.286,123.734,9.49,0,0,80.83,406.268,3.2,1173,120
Ga,Al2O3,13,122,10,0,0,64,406.268,3.2,1323,117
Ga0.975Cr0.025,Al2O3,12.825,122.425,9.875,0,0,68.125,406.268,3.2,1323,115
Ga0.944Cr0.056,Al2O3,12.608,122.952,9.72,0,0,73.24,406.268,3.2,1323,114
Ga0.904Cr0.096,Al2O3,12.328,123.632,9.52,0,0,79.84,406.268,3.2,1323,114
Ga0.884Cr0.116,Al2O3,12.188,123.972,9.42,0,0,83.14,406.268,3.2,1323,114
Ga0.872Cr0.128,Al2O3,12.104,124.176,9.36,0,0,85.12,406.268,3.2,1323,114
Ga0.851Cr0.149,Al2O3,11.957,124.533,9.255,0,0,88.585,406.268,3.2,1323,112
Ga0.824Cr0.176,Al2O3,11.768,124.992,9.12,0,0,93.04,406.268,3.2,1323,111
Ga0.808Cr0.192,Al2O3,11.656,125.264,9.04,0,0,95.68,406.268,3.2,1323,111
Ga0.784Cr0.216,Al2O3,11.488,125.672,8.92,0,0,99.64,406.268,3.2,1323,110
Ga0.995V0.005,Al2O3,12.96,122.155,9.965,0,0,64.825,406.268,3.2,1173,109
Ga0.993V0.007,Al2O3,12.944,122.217,9.951,0,0,65.155,406.268,3.2,1173,104
Ga0.99V0.01,Al2O3,12.92,122.31,9.93,0,0,65.65,406.268,3.2,1173,103
Ga0.986V0.014,Al2O3,12.888,122.434,9.902,0,0,66.31,406.268,3.2,1173,101
Ga0.982V0.018,Al2O3,12.856,122.558,9.874,0,0,66.97,406.268,3.2,1173,97
Ga0.979V0.021,Al2O3,12.832,122.651,9.853,0,0,67.465,406.268,3.2,1173,96
Ga0.996V0.004,Al2O3,12.968,122.124,9.972,0,0,64.66,406.268,3.2,1323,106
Ga0.994V0.006,Al2O3,12.952,122.186,9.958,0,0,64.99,406.268,3.2,1323,99
Ga0.993V0.007,Al2O3,12.944,122.217,9.951,0,0,65.155,406.268,3.2,1323,97
Ga0.988V0.012,Al2O3,12.904,122.372,9.916,0,0,65.98,406.268,3.2,1323,94
Ga0.983V0.017,Al2O3,12.864,122.527,9.881,0,0,66.805,406.268,3.2,1323,92
Ga0.997Ti0.003,Al2O3,12.973,122.114,9.976,0,6.76E-08,64.39,406.268,3.2,1173,98
Ga0.996Ti0.004,Al2O3,12.964,122.152,9.968,0,9.01E-08,64.52,406.268,3.2,1173,93
Ga0.995Ti0.005,Al2O3,12.955,122.19,9.96,0,1.13E-07,64.65,406.268,3.2,1173,91
Ga0.993Ti0.007,Al2O3,12.937,122.266,9.944,0,1.58E-07,64.91,406.268,3.2,1173,87
Ga0.99Ti0.01,Al2O3,12.91,122.38,9.92,0,2.25E-07,65.3,406.268,3.2,1173,80
Ga0.988Ti0.012,Al2O3,12.892,122.456,9.904,0,2.70E-07,65.56,406.268,3.2,1173,78
Ga0.98Ti0.02,Al2O3,12.82,122.76,9.84,0,4.51E-07,66.6,406.268,3.2,1173,77
Ga0.979Ti0.021,Al2O3,12.811,122.798,9.832,0,4.73E-07,66.73,406.268,3.2,1173,74
Ga0.975Ti0.025,Al2O3,12.775,122.95,9.8,0,5.63E-07,67.25,406.268,3.2,1173,74
Ga0.972Ti0.028,Al2O3,12.748,123.064,9.776,0,6.31E-07,67.64,406.268,3.2,1173,76
Ga0.957Ti0.043,Al2O3,12.613,123.634,9.656,0,9.69E-07,69.59,406.268,3.2,1173,75
Ga0.95Ti0.05,Al2O3,12.55,123.9,9.6,0,1.13E-06,70.5,406.268,3.2,1173,74
Ga0.997Ti0.003,Al2O3,12.973,122.114,9.976,0,6.76E-08,64.39,406.268,3.2,1323,83
Ga0.996Ti0.004,Al2O3,12.964,122.152,9.968,0,9.01E-08,64.52,406.268,3.2,1323,74
Ga0.992Ti0.008,Al2O3,12.928,122.304,9.936,0,1.80E-07,65.04,406.268,3.2,1323,72
Ga0.991Ti0.009,Al2O3,12.919,122.342,9.928,0,2.03E-07,65.17,406.268,3.2,1323,70
Ga0.989Ti0.011,Al2O3,12.901,122.418,9.912,0,2.48E-07,65.43,406.268,3.2,1323,65
Ga0.981Ti0.019,Al2O3,12.829,122.722,9.848,0,4.28E-07,66.47,406.268,3.2,1323,63
Ga0.976Ti0.024,Al2O3,12.784,122.912,9.808,0,5.41E-07,67.12,406.268,3.2,1323,62
Ga0.963Ti0.037,Al2O3,12.667,123.406,9.704,0,8.34E-07,68.81,406.268,3.2,1323,56
Ga0.954Ti0.046,Al2O3,12.586,123.748,9.632,0,1.04E-06,69.98,406.268,3.2,1323,63
Ga0.937Ti0.063,Al2O3,12.433,124.394,9.496,0,1.42E-06,72.19,406.268,3.2,1323,58
Ga0.922Ti0.078,Al2O3,12.298,124.964,9.376,0,1.76E-06,74.14,406.268,3.2,1323,62
Ga0.916Ti0.084,Al2O3,12.244,125.192,9.328,0,1.89E-06,74.92,406.268,3.2,1323,56
Ga0.9Ti0.1,Al2O3,12.1,125.8,9.2,0,2.25E-06,77,406.268,3.2,1323,62
Ga0.89Ti0.11,Al2O3,12.01,126.18,9.12,0,2.48E-06,78.3,406.268,3.2,1323,63
Ga0.885Ti0.115,Al2O3,11.965,126.37,9.08,0,2.59E-06,78.95,406.268,3.2,1323,56
Ga,Si1O2,13,122,10,0,0,64,598.8666667,2.666666667,1173,123
Ga0.987Cr0.013,Si1O2,12.909,122.221,9.935,0,0,66.145,598.8666667,2.666666667,1173,121
Ga0.978Cr0.022,Si1O2,12.846,122.374,9.89,0,0,67.63,598.8666667,2.666666667,1173,122
Ga0.966Cr0.034,Si1O2,12.762,122.578,9.83,0,0,69.61,598.8666667,2.666666667,1173,122
Ga0.94Cr0.06,Si1O2,12.58,123.02,9.7,0,0,73.9,598.8666667,2.666666667,1173,120
Ga0.931Cr0.069,Si1O2,12.517,123.173,9.655,0,0,75.385,598.8666667,2.666666667,1173,120
Ga0.917Cr0.083,Si1O2,12.419,123.411,9.585,0,0,77.695,598.8666667,2.666666667,1173,120
Ga0.904Cr0.096,Si1O2,12.328,123.632,9.52,0,0,79.84,598.8666667,2.666666667,1173,121
Ga0.901Cr0.099,Si1O2,12.307,123.683,9.505,0,0,80.335,598.8666667,2.666666667,1173,121
