Metal,Substrate,Me_MagpieData mean CovalentRadius,Me_MagpieData mean Electronegativity,Me_MagpieData mean NdValence,Me_MagpieData mean SpaceGroupNumber,Me_MagpieData mean GSmagmom,Ce_MagpieData mean MeltingT,Ce_MagpieData mean NpUnfilled,Testing temperature (K),Wetting angle
Ga0.974Cr0.026,Si1O2,122.442,1.8061,9.87,68.29,0,598.8666667,2.666666667,1323,119
Ga0.953Cr0.047,Si1O2,122.799,1.80295,9.765,71.755,0,598.8666667,2.666666667,1323,118
Ga0.946Cr0.054,Si1O2,122.918,1.8019,9.73,72.91,0,598.8666667,2.666666667,1323,119
Ga0.909Cr0.091,Si1O2,123.547,1.79635,9.545,79.015,0,598.8666667,2.666666667,1323,117
Ga0.895Cr0.105,Si1O2,123.785,1.79425,9.475,81.325,0,598.8666667,2.666666667,1323,117
Ga0.88Cr0.12,Si1O2,124.04,1.792,9.4,83.8,0,598.8666667,2.666666667,1323,117
Ga0.835Cr0.165,Si1O2,124.805,1.78525,9.175,91.225,0,598.8666667,2.666666667,1323,116
Ga0.822Cr0.178,Si1O2,125.026,1.7833,9.11,93.37,0,598.8666667,2.666666667,1323,119
Ga0.784Cr0.216,Si1O2,125.672,1.7776,8.92,99.64,0,598.8666667,2.666666667,1323,118
Ga0.996V0.004,Si1O2,122.124,1.80928,9.972,64.66,0,598.8666667,2.666666667,1173,115
Ga0.993V0.007,Si1O2,122.217,1.80874,9.951,65.155,0,598.8666667,2.666666667,1173,116
Ga0.989V0.011,Si1O2,122.341,1.80802,9.923,65.815,0,598.8666667,2.666666667,1173,115
Ga0.983V0.017,Si1O2,122.527,1.80694,9.881,66.805,0,598.8666667,2.666666667,1173,114
Ga0.982V0.018,Si1O2,122.558,1.80676,9.874,66.97,0,598.8666667,2.666666667,1173,112
Ga0.996V0.004,Si1O2,122.124,1.80928,9.972,64.66,0,598.8666667,2.666666667,1323,114
Ga0.993V0.007,Si1O2,122.217,1.80874,9.951,65.155,0,598.8666667,2.666666667,1323,114
Ga0.988V0.012,Si1O2,122.372,1.80784,9.916,65.98,0,598.8666667,2.666666667,1323,114
Ga0.985V0.015,Si1O2,122.465,1.8073,9.895,66.475,0,598.8666667,2.666666667,1323,113
Ga0.98V0.02,Si1O2,122.62,1.8064,9.86,67.3,0,598.8666667,2.666666667,1323,114
Ga0.999Ti0.001,Si1O2,122.038,1.80973,9.992,64.13,2.25E-08,598.8666667,2.666666667,1173,97
Ga0.997Ti0.003,Si1O2,122.114,1.80919,9.976,64.39,6.76E-08,598.8666667,2.666666667,1173,90
Ga0.995Ti0.005,Si1O2,122.19,1.80865,9.96,64.65,1.13E-07,598.8666667,2.666666667,1173,88
Ga0.994Ti0.006,Si1O2,122.228,1.80838,9.952,64.78,1.35E-07,598.8666667,2.666666667,1173,84
Ga0.992Ti0.008,Si1O2,122.304,1.80784,9.936,65.04,1.80E-07,598.8666667,2.666666667,1173,75
Ga0.99Ti0.01,Si1O2,122.38,1.8073,9.92,65.3,2.25E-07,598.8666667,2.666666667,1173,68
Ga0.986Ti0.014,Si1O2,122.532,1.80622,9.888,65.82,3.15E-07,598.8666667,2.666666667,1173,64
Ga0.981Ti0.019,Si1O2,122.722,1.80487,9.848,66.47,4.28E-07,598.8666667,2.666666667,1173,62
Ga0.975Ti0.025,Si1O2,122.95,1.80325,9.8,67.25,5.63E-07,598.8666667,2.666666667,1173,61
Ga0.962Ti0.038,Si1O2,123.444,1.79974,9.696,68.94,8.56E-07,598.8666667,2.666666667,1173,58
Ga0.955Ti0.045,Si1O2,123.71,1.79785,9.64,69.85,1.01E-06,598.8666667,2.666666667,1173,58
Ga0.999Ti0.001,Si1O2,122.038,1.80973,9.992,64.13,2.25E-08,598.8666667,2.666666667,1323,89
Ga0.998Ti0.002,Si1O2,122.076,1.80946,9.984,64.26,4.51E-08,598.8666667,2.666666667,1323,77
Ga0.995Ti0.005,Si1O2,122.19,1.80865,9.96,64.65,1.13E-07,598.8666667,2.666666667,1323,67
Ga0.989Ti0.011,Si1O2,122.418,1.80703,9.912,65.43,2.48E-07,598.8666667,2.666666667,1323,62
Ga0.986Ti0.014,Si1O2,122.532,1.80622,9.888,65.82,3.15E-07,598.8666667,2.666666667,1323,62
Ga0.978Ti0.022,Si1O2,122.836,1.80406,9.824,66.86,4.96E-07,598.8666667,2.666666667,1323,59
Ga0.965Ti0.035,Si1O2,123.33,1.80055,9.72,68.55,7.89E-07,598.8666667,2.666666667,1323,57
Ga0.952Ti0.048,Si1O2,123.824,1.79704,9.616,70.24,1.08E-06,598.8666667,2.666666667,1323,55
Ga0.939Ti0.061,Si1O2,124.318,1.79353,9.512,71.93,1.37E-06,598.8666667,2.666666667,1323,56
Ga0.919Ti0.081,Si1O2,125.078,1.78813,9.352,74.53,1.83E-06,598.8666667,2.666666667,1323,55
Ga0.914Ti0.086,Si1O2,125.268,1.78678,9.312,75.18,1.94E-06,598.8666667,2.666666667,1323,54
Ga0.897Ti0.103,Si1O2,125.914,1.78219,9.176,77.39,2.32E-06,598.8666667,2.666666667,1323,55
Ga0.895Ti0.105,Si1O2,125.99,1.78165,9.16,77.65,2.37E-06,598.8666667,2.666666667,1323,53
Cu0.824Ga0.175Ti0.001,Al2O3,130.278,1.88389,9.992,196.794,2.25E-08,406.268,3.2,1323,131
Cu0.815Ga0.173Ti0.012,Al2O3,130.606,1.88011,9.904,196.775,2.70E-07,406.268,3.2,1323,98
Cu0.807Ga0.171Ti0.022,Al2O3,130.906,1.87669,9.824,196.787,4.96E-07,406.268,3.2,1323,88
Cu0.799Ga0.17Ti0.031,Al2O3,131.168,1.87354,9.752,196.669,6.99E-07,406.268,3.2,1323,79
Cu0.79Ga0.167Ti0.043,Al2O3,131.534,1.86949,9.656,196.78,9.69E-07,406.268,3.2,1323,66
Cu0.783Ga0.166Ti0.051,Al2O3,131.768,1.8667,9.592,196.693,1.15E-06,406.268,3.2,1323,57
Cu0.775Ga0.164Ti0.061,Al2O3,132.068,1.86328,9.512,196.705,1.37E-06,406.268,3.2,1323,50
Cu0.759Ga0.161Ti0.08,Al2O3,132.63,1.85671,9.36,196.599,1.80E-06,406.268,3.2,1323,46
Cu0.752Ga0.159Ti0.089,Al2O3,132.902,1.85365,9.288,196.642,2.01E-06,406.268,3.2,1323,40
Cu0.815Ga0.173Ti0.012,Si1O2,130.606,1.88011,9.904,196.775,2.70E-07,598.8666667,2.666666667,1323,109
Cu0.807Ga0.171Ti0.022,Si1O2,130.906,1.87669,9.824,196.787,4.96E-07,598.8666667,2.666666667,1323,56
Cu0.799Ga0.169Ti0.032,Si1O2,131.206,1.87327,9.744,196.799,7.21E-07,598.8666667,2.666666667,1323,36
Cu0.791Ga0.168Ti0.041,Si1O2,131.468,1.87012,9.672,196.681,9.24E-07,598.8666667,2.666666667,1323,27
Cu0.782Ga0.166Ti0.052,Si1O2,131.796,1.86634,9.584,196.662,1.17E-06,598.8666667,2.666666667,1323,22
Cu0.766Ga0.163Ti0.071,Si1O2,132.358,1.85977,9.432,196.556,1.60E-06,598.8666667,2.666666667,1323,19
Cu0.75Ga0.159Ti0.091,Si1O2,132.958,1.85293,9.272,196.58,2.05E-06,598.8666667,2.666666667,1323,17
Sn,Al2O3,139,1.96,10,141,0,406.268,3.2,873,140.7
Sn,Al2O3,139,1.96,10,141,0,406.268,3.2,973,140.2
Sn,Al2O3,139,1.96,10,141,0,406.268,3.2,1023,139
Sn,Al2O3,139,1.96,10,141,0,406.268,3.2,1073,115.7
Sn,Al2O3,139,1.96,10,141,0,406.268,3.2,1123,114.7
Sn,Al2O3,139,1.96,10,141,0,406.268,3.2,1173,114.4
Sn,Al2O3,139,1.96,10,141,0,406.268,3.2,1223,115.7
Sn,Al2O3,139,1.96,10,141,0,406.268,3.2,1273,115.9
Sn,Al2O3,139,1.96,10,141,0,406.268,3.2,1323,119.3
Sn,Al2O3,139,1.96,10,141,0,406.268,3.2,1373,122.5
Sn,Al2O3,139,1.96,10,141,0,406.268,3.2,1423,122.5
Sn,Al2O3,139,1.96,10,141,0,406.268,3.2,1473,122.6
Sn,Al2O3,139,1.96,10,141,0,406.268,3.2,1573,121.2
Cu,Al2O3,132,1.9,10,225,0,406.268,3.2,1423,135
Cu0.9Al0.1,Al2O3,130.9,1.871,9,225,0,406.268,3.2,1423,113.4
Cu0.8Al0.2,Al2O3,129.8,1.842,8,225,0,406.268,3.2,1423,100
Cu0.7Al0.3,Al2O3,128.7,1.813,7,225,0,406.268,3.2,1423,90.2
Cu0.6Al0.4,Al2O3,127.6,1.784,6,225,0,406.268,3.2,1423,84.8
Cu0.9Ti0.1,Al2O3,134.8,1.864,9.2,221.9,2.25E-06,406.268,3.2,1423,69.6
Cu0.8Ti0.2,Al2O3,137.6,1.828,8.4,218.8,4.51E-06,406.268,3.2,1423,29.5
Cu0.7Ti0.3,Al2O3,140.4,1.792,7.6,215.7,6.76E-06,406.268,3.2,1423,7.1
Cu0.6Ti0.4,Al2O3,143.2,1.756,6.8,212.6,9.01E-06,406.268,3.2,1423,5.4
Ga,Ca1F2,122,1.81,10,64,0,407.3333333,0.666666667,1173,120
In,Ca1F2,142,1.78,10,139,0,407.3333333,0.666666667,1173,130
Ge,Ca1F2,120,2.01,10,225,0,407.3333333,0.666666667,1423,110
Cu,Ca1F2,132,1.9,10,225,0,407.3333333,0.666666667,1423,110
Al,Ca1F2,121,1.61,0,225,0,407.3333333,0.666666667,1423,90
In,Ca1F2,142,1.78,10,139,0,407.3333333,0.666666667,1423,120
Ga,Ca1F2,122,1.81,10,64,0,407.3333333,0.666666667,1423,88
Ge,Ca1F2,120,2.01,10,225,0,407.3333333,0.666666667,1523,128
Al,Ca1F2,121,1.61,0,225,0,407.3333333,0.666666667,1523,126
Cu,Ca1F2,132,1.9,10,225,0,407.3333333,0.666666667,1523,127
In,Ca1F2,142,1.78,10,139,0,407.3333333,0.666666667,1123,130
Sn,Ca1F2,139,1.96,10,141,0,407.3333333,0.666666667,1173,125
Au,Ca1F2,136,2.54,10,225,0,407.3333333,0.666666667,1373,114
Ge,Ca1F2,120,2.01,10,225,0,407.3333333,0.666666667,1273,115
In0.98Ti0.02,Ca1F2,142.36,1.7752,9.84,140.1,4.51E-07,407.3333333,0.666666667,1123,30
Sn0.98Ti0.02,Ca1F2,139.42,1.9516,9.84,142.06,4.51E-07,407.3333333,0.666666667,1173,51
Ga0.98Ti0.02,Ca1F2,122.76,1.8046,9.84,66.6,4.51E-07,407.3333333,0.666666667,1173,58
Au0.98Ti0.02,Ca1F2,136.48,2.52,9.84,224.38,4.51E-07,407.3333333,0.666666667,1373,98
Ge0.98Ti0.02,Ca1F2,120.8,2.0006,9.84,224.38,4.51E-07,407.3333333,0.666666667,1273,98
Au0.95Ti0.05,Ca1F2,137.2,2.49,9.6,223.45,1.13E-06,407.3333333,0.666666667,1373,97
Ge0.96Ti0.04,Ca1F2,121.6,1.9912,9.68,223.76,9.01E-07,407.3333333,0.666666667,1373,99
Ga0.99Ti0.01,Ca1F2,122.38,1.8073,9.92,65.3,2.25E-07,407.3333333,0.666666667,1173,80
Ga0.97Ti0.03,Ca1F2,123.14,1.8019,9.76,67.9,6.76E-07,407.3333333,0.666666667,1173,61
Sn0.955Ti0.045,Ca1F2,139.945,1.9411,9.64,143.385,1.01E-06,407.3333333,0.666666667,1173,53
In0.995Ti0.005,Ca1F2,142.09,1.7788,9.96,139.275,1.13E-07,407.3333333,0.666666667,1123,40
In0.985Ti0.015,Ca1F2,142.27,1.7764,9.88,139.825,3.38E-07,407.3333333,0.666666667,1123,37
In0.97Ti0.03,Ca1F2,142.54,1.7728,9.76,140.65,6.76E-07,407.3333333,0.666666667,1123,29
Cu,Ca1F2,132,1.9,10,225,0,407.3333333,0.666666667,1423,112
Cu0.95Ti0.05,Ca1F2,133.4,1.882,9.6,223.45,1.13E-06,407.3333333,0.666666667,1423,109
Cu0.85Ti0.15,Ca1F2,136.2,1.846,8.8,220.35,3.38E-06,407.3333333,0.666666667,1423,110
Cu0.75Ti0.25,Ca1F2,139,1.81,8,217.25,5.63E-06,407.3333333,0.666666667,1423,110
Cu0.6Ti0.4,Ca1F2,143.2,1.756,6.8,212.6,9.01E-06,407.3333333,0.666666667,1423,113
Ga,Sr1F2,122,1.81,10,64,0,385.6666667,0.666666667,373,144.9
Ga,Sr1F2,122,1.81,10,64,0,385.6666667,0.666666667,473,140
Ga,Sr1F2,122,1.81,10,64,0,385.6666667,0.666666667,573,136.2
Ga,Sr1F2,122,1.81,10,64,0,385.6666667,0.666666667,673,133.2
Ga,Sr1F2,122,1.81,10,64,0,385.6666667,0.666666667,773,129
Ga,Sr1F2,122,1.81,10,64,0,385.6666667,0.666666667,873,126.3
Ga,Sr1F2,122,1.81,10,64,0,385.6666667,0.666666667,973,123.3
Ga,Sr1F2,122,1.81,10,64,0,385.6666667,0.666666667,1073,119.2
Ga,Sr1F2,122,1.81,10,64,0,385.6666667,0.666666667,1173,117
In,Sr1F2,142,1.78,10,139,0,385.6666667,0.666666667,473,157.8
In,Sr1F2,142,1.78,10,139,0,385.6666667,0.666666667,573,154.8
In,Sr1F2,142,1.78,10,139,0,385.6666667,0.666666667,673,149.9
In,Sr1F2,142,1.78,10,139,0,385.6666667,0.666666667,773,143.8
In,Sr1F2,142,1.78,10,139,0,385.6666667,0.666666667,873,140
In,Sr1F2,142,1.78,10,139,0,385.6666667,0.666666667,973,135.9
In,Sr1F2,142,1.78,10,139,0,385.6666667,0.666666667,1073,133.2
Sn,Sr1F2,139,1.96,10,141,0,385.6666667,0.666666667,523,156.2
Sn,Sr1F2,139,1.96,10,141,0,385.6666667,0.666666667,573,152.6
Sn,Sr1F2,139,1.96,10,141,0,385.6666667,0.666666667,673,145.8
Sn,Sr1F2,139,1.96,10,141,0,385.6666667,0.666666667,773,142.2
Sn,Sr1F2,139,1.96,10,141,0,385.6666667,0.666666667,873,135.1
Sn,Sr1F2,139,1.96,10,141,0,385.6666667,0.666666667,973,133.2
Sn,Sr1F2,139,1.96,10,141,0,385.6666667,0.666666667,1073,126
Sn,Sr1F2,139,1.96,10,141,0,385.6666667,0.666666667,1173,121.1
Sn,Sr1F2,139,1.96,10,141,0,385.6666667,0.666666667,1273,118.1
Sn,Sr1F2,139,1.96,10,141,0,385.6666667,0.666666667,1373,115.9
Sn,Sr1F2,139,1.96,10,141,0,385.6666667,0.666666667,1423,112.1
Pb,Sr1F2,146,2.33,10,225,0,385.6666667,0.666666667,623,134
Pb,Sr1F2,146,2.33,10,225,0,385.6666667,0.666666667,673,131.2
Pb,Sr1F2,146,2.33,10,225,0,385.6666667,0.666666667,773,127.9
Pb,Sr1F2,146,2.33,10,225,0,385.6666667,0.666666667,873,124.9
Pb,Sr1F2,146,2.33,10,225,0,385.6666667,0.666666667,973,122.5
Pb,Sr1F2,146,2.33,10,225,0,385.6666667,0.666666667,1073,117
Al,Sr1F2,121,1.61,0,225,0,385.6666667,0.666666667,973,121.9
Al,Sr1F2,121,1.61,0,225,0,385.6666667,0.666666667,1073,115.9
Al,Sr1F2,121,1.61,0,225,0,385.6666667,0.666666667,1173,109.9
Al,Sr1F2,121,1.61,0,225,0,385.6666667,0.666666667,1273,100.3
Ag,Sr1F2,145,1.93,10,225,0,385.6666667,0.666666667,1273,130.1
Ag,Sr1F2,145,1.93,10,225,0,385.6666667,0.666666667,1373,124.4
Ag,Sr1F2,145,1.93,10,225,0,385.6666667,0.666666667,1423,120.3
Au,Sr1F2,136,2.54,10,225,0,385.6666667,0.666666667,1373,132.9
Au,Sr1F2,136,2.54,10,225,0,385.6666667,0.666666667,1423,126.3
Cu,Sr1F2,132,1.9,10,225,0,385.6666667,0.666666667,1373,140
Cu,Sr1F2,132,1.9,10,225,0,385.6666667,0.666666667,1423,133.2
Cu,Sr1F2,132,1.9,10,225,0,385.6666667,0.666666667,1473,126
In,Ca1F2,142,1.78,10,139,0,407.3333333,0.666666667,973,138
In,Sr1F2,142,1.78,10,139,0,385.6666667,0.666666667,973,136.2
In,Ba1F2,142,1.78,10,139,0,369,0.666666667,973,132.2
In,Mg1F2,142,1.78,10,139,0,343.3333333,0.666666667,973,126.4
Cu,Ca1F2,132,1.9,10,225,0,407.3333333,0.666666667,1423,135
Cu,Sr1F2,132,1.9,10,225,0,385.6666667,0.666666667,1423,133.1
Cu,Ba1F2,132,1.9,10,225,0,369,0.666666667,1423,130.3
Cu,Mg1F2,132,1.9,10,225,0,343.3333333,0.666666667,1423,121.6
Au,Ca1F2,136,2.54,10,225,0,407.3333333,0.666666667,1423,128.2
Au,Sr1F2,136,2.54,10,225,0,385.6666667,0.666666667,1423,126.2
Au,Ba1F2,136,2.54,10,225,0,369,0.666666667,1423,120.5
Au,Mg1F2,136,2.54,10,225,0,343.3333333,0.666666667,1423,115.7
Ag,Ca1F2,145,1.93,10,225,0,407.3333333,0.666666667,1373,125.9
Ag,Sr1F2,145,1.93,10,225,0,385.6666667,0.666666667,1373,124.1
Ag,Ba1F2,145,1.93,10,225,0,369,0.666666667,1373,118.4
Ag,Mg1F2,145,1.93,10,225,0,343.3333333,0.666666667,1373,114.5
Ga,Ca1F2,122,1.81,10,64,0,407.3333333,0.666666667,1073,123
Ga,Sr1F2,122,1.81,10,64,0,385.6666667,0.666666667,1073,122.4
Ga,Ba1F2,122,1.81,10,64,0,369,0.666666667,1073,112.4
Ga,Mg1F2,122,1.81,10,64,0,343.3333333,0.666666667,1073,108.6
Pb,Ca1F2,146,2.33,10,225,0,407.3333333,0.666666667,973,122
Pb,Sr1F2,146,2.33,10,225,0,385.6666667,0.666666667,973,119.2
Pb,Ba1F2,146,2.33,10,225,0,369,0.666666667,973,116.3
Pb,Mg1F2,146,2.33,10,225,0,343.3333333,0.666666667,973,111.7
Sn,Ca1F2,139,1.96,10,141,0,407.3333333,0.666666667,1373,118
Sn,Sr1F2,139,1.96,10,141,0,385.6666667,0.666666667,1373,116.2
Sn,Ba1F2,139,1.96,10,141,0,369,0.666666667,1373,110.6
Sn,Mg1F2,139,1.96,10,141,0,343.3333333,0.666666667,1373,107.3
Al,Sr1F2,121,1.61,0,225,0,385.6666667,0.666666667,1273,100.3
Al,Ba1F2,121,1.61,0,225,0,369,0.666666667,1273,98.4
Al,Mg1F2,121,1.61,0,225,0,343.3333333,0.666666667,1273,95.6
Cu0.638Ti0.362,Mg1F2,142.136,1.76968,7.104,213.778,8.16E-06,343.3333333,0.666666667,1423,118
Cu0.244Ti0.756,Ba1F2,153.168,1.62784,3.952,201.564,1.70E-05,369,0.666666667,1473,123
Ni0.259Ti0.741,Ba1F2,150.676,1.63583,3.554,202.029,0.154223925,369,0.666666667,1473,111
Cu0.427Ti0.573,Sr1F2,148.044,1.69372,5.416,207.237,1.29E-05,385.6666667,0.666666667,1473,119
Cu0.589Zr0.411,Sr1F2,149.673,1.66573,6.712,212.259,0,385.6666667,0.666666667,1473,110
Ni0.259Ti0.741,Sr1F2,150.676,1.63583,3.554,202.029,0.154223925,385.6666667,0.666666667,1473,114
Ni0.4Zr0.6,Sr1F2,154.6,1.562,4.4,206.4,0.23815788,385.6666667,0.666666667,1523,119
Cu0.427Ti0.573,Ca1F2,148.044,1.69372,5.416,207.237,1.29E-05,407.3333333,0.666666667,1473,116
Cu0.589Zr0.411,Ca1F2,149.673,1.66573,6.712,212.259,0,407.3333333,0.666666667,1473,108
Ni0.259Ti0.741,Ca1F2,150.676,1.63583,3.554,202.029,0.154223925,407.3333333,0.666666667,1473,111
Ni0.4Zr0.6,Ca1F2,154.6,1.562,4.4,206.4,0.23815788,407.3333333,0.666666667,1523,124
Al,Ca1F2,121,1.61,0,225,0,407.3333333,0.666666667,973,131.3
Al,Ca1F2,121,1.61,0,225,0,407.3333333,0.666666667,1073,118.4
Al,Ca1F2,121,1.61,0,225,0,407.3333333,0.666666667,1173,111.3
Al,Ca1F2,121,1.61,0,225,0,407.3333333,0.666666667,1273,102.2
Al,Ca1F2,121,1.61,0,225,0,407.3333333,0.666666667,1373,101.2
Al,Ca1F2,121,1.61,0,225,0,407.3333333,0.666666667,1423,123.5
Al,Ca1F2,121,1.61,0,225,0,407.3333333,0.666666667,1523,133.6
Al,Sr1F2,121,1.61,0,225,0,385.6666667,0.666666667,973,122
Al,Sr1F2,121,1.61,0,225,0,385.6666667,0.666666667,1073,116.1
Al,Sr1F2,121,1.61,0,225,0,385.6666667,0.666666667,1173,108.6
Al,Sr1F2,121,1.61,0,225,0,385.6666667,0.666666667,1273,100.2
Al,Sr1F2,121,1.61,0,225,0,385.6666667,0.666666667,1373,98.7
Al,Sr1F2,121,1.61,0,225,0,385.6666667,0.666666667,1423,119.5
Al,Sr1F2,121,1.61,0,225,0,385.6666667,0.666666667,1523,130.4
Sn0.952Ti0.048,Ca1F2,140.008,1.93984,9.616,143.544,1.08E-06,407.3333333,0.666666667,973,65
Sn0.952Ti0.048,Ca1F2,140.008,1.93984,9.616,143.544,1.08E-06,407.3333333,0.666666667,1173,32
Sn0.952Ti0.048,Ca1F2,140.008,1.93984,9.616,143.544,1.08E-06,407.3333333,0.666666667,1273,28
Sn0.952Ti0.048,Ca1F2,140.008,1.93984,9.616,143.544,1.08E-06,407.3333333,0.666666667,1373,88
Sn0.952Ti0.048,Sr1F2,140.008,1.93984,9.616,143.544,1.08E-06,385.6666667,0.666666667,973,65
Sn0.952Ti0.048,Sr1F2,140.008,1.93984,9.616,143.544,1.08E-06,385.6666667,0.666666667,1173,32
Sn0.952Ti0.048,Sr1F2,140.008,1.93984,9.616,143.544,1.08E-06,385.6666667,0.666666667,1273,28
Sn0.952Ti0.048,Sr1F2,140.008,1.93984,9.616,143.544,1.08E-06,385.6666667,0.666666667,1373,88
Cu0.66Ti0.34,Ca1F2,141.52,1.7776,7.28,214.46,7.66E-06,407.3333333,0.666666667,1173,87.2
Cu0.66Ti0.34,Ca1F2,141.52,1.7776,7.28,214.46,7.66E-06,407.3333333,0.666666667,1223,82.4
Cu0.66Ti0.34,Ca1F2,141.52,1.7776,7.28,214.46,7.66E-06,407.3333333,0.666666667,1273,90.7
Cu0.66Ti0.34,Ca1F2,141.52,1.7776,7.28,214.46,7.66E-06,407.3333333,0.666666667,1323,108.7
Cu0.66Ti0.34,Ca1F2,141.52,1.7776,7.28,214.46,7.66E-06,407.3333333,0.666666667,1373,116.6
Cu0.66Ti0.34,Sr1F2,141.52,1.7776,7.28,214.46,7.66E-06,385.6666667,0.666666667,1173,82.7
Cu0.66Ti0.34,Sr1F2,141.52,1.7776,7.28,214.46,7.66E-06,385.6666667,0.666666667,1223,79.7
Cu0.66Ti0.34,Sr1F2,141.52,1.7776,7.28,214.46,7.66E-06,385.6666667,0.666666667,1273,88
Cu0.66Ti0.34,Sr1F2,141.52,1.7776,7.28,214.46,7.66E-06,385.6666667,0.666666667,1323,105.6
Cu0.66Ti0.34,Sr1F2,141.52,1.7776,7.28,214.46,7.66E-06,385.6666667,0.666666667,1373,113.4
Sn0.98Ti0.02,Mg1F2,139.42,1.9516,9.84,142.06,4.51E-07,343.3333333,0.666666667,973,56
Sn0.98Ti0.02,Mg1F2,139.42,1.9516,9.84,142.06,4.51E-07,343.3333333,0.666666667,1173,107
Sn0.98Ti0.02,Ba1F2,139.42,1.9516,9.84,142.06,4.51E-07,369,0.666666667,973,64
Sn0.98Ti0.02,Ba1F2,139.42,1.9516,9.84,142.06,4.51E-07,369,0.666666667,1173,31
Sn0.98Ti0.02,Ba1F2,139.42,1.9516,9.84,142.06,4.51E-07,369,0.666666667,1273,67
Sn0.98Ti0.02,Ca1F2,139.42,1.9516,9.84,142.06,4.51E-07,407.3333333,0.666666667,973,97
Sn0.98Ti0.02,Ca1F2,139.42,1.9516,9.84,142.06,4.51E-07,407.3333333,0.666666667,1173,67
Sn0.98Ti0.02,Ca1F2,139.42,1.9516,9.84,142.06,4.51E-07,407.3333333,0.666666667,1273,34
Sn0.98Ti0.02,Ca1F2,139.42,1.9516,9.84,142.06,4.51E-07,407.3333333,0.666666667,1373,92
Cu0.637Ti0.363,Mg1F2,142.164,1.76932,7.096,213.747,8.18E-06,343.3333333,0.666666667,1423,118
Ni0.752Hf0.248,Mg1F2,136.648,1.75872,6.512,217.312,0.447736814,343.3333333,0.666666667,1423,120
Cu0.737Hf0.263,Ba1F2,143.309,1.7422,7.896,216.847,0,369,0.666666667,1473,110
